,SubDivName,medianPrSqFt_2000,medianHage_2000,medianHPrice_2000,medianPrSqFt_2005,medianHage_2005,medianHPrice_2005,medianPrSqFt_2010,medianHage_2010,medianHPrice_2010,medianPrSqFt_2015,medianHage_2015,medianHPrice_2015,medianPrSqFt_2020,medianHage_2020,medianHPrice_2020,subDivAge_2000,subDivAge_2005,subDivAge_2010,subDivAge_2015,subDivAge_2020
353,HIDDEN VALLEY,87.0,25.0,196273.0,87.0,30.0,197751.0,120.601,35.0,273640.0,124.0,40.0,280628.0,155.0,45.0,358282.0,27.0,32.0,37.0,42.0,47.0
354,HIDDEN VALLEY,87.0,25.0,196273.0,87.0,30.0,197751.0,120.601,35.0,273640.0,124.0,40.0,280628.0,155.0,45.0,358282.0,9.0,14.0,19.0,24.0,29.0
355,HIGH PARK COURT TOWNHOMES,111.0,52.0,144427.0,111.0,57.0,144427.0,190.108,62.0,252876.0,194.0,1.0,278639.0,248.0,6.0,358087.0,void,void,1.0,6.0,11.0
356,HIGH PARK TOWNHOMES,97.0,52.0,137574.5,92.0,57.0,128625.0,172.854,4.0,241304.0,194.0,9.0,270262.0,250.0,14.0,348821.0,void,void,4.0,9.0,14.0
357,HIGHLAND FOREST,102.0,42.0,222764.5,104.0,47.0,241393.0,189.084,52.0,478478.0,205.5,56.0,538379.5,220.5,61.5,629094.0,43.0,48.0,53.0,58.0,63.0
358,HIGHLAND GARDENS,143.0,48.0,339733.5,void,48.0,367621.0,213.2515,53.0,766649.0,237.5,53.0,602618.5,244.5,56.0,758902.0,62.0,67.0,72.0,77.0,82.0
359,HILLSTROM,59.0,40.0,124736.0,59.0,45.0,124736.0,101.425,50.0,203415.0,98.0,55.0,203217.0,145.0,60.0,341950.0,41.0,46.0,51.0,56.0,61.0
360,HINTON,82.0,38.0,158443.0,77.5,43.0,158443.0,93.051,48.0,223251.5,91.0,53.0,205188.5,113.5,58.0,263583.0,24.0,29.0,34.0,39.0,44.0
361,HOBBY & JOHNSON,70.0,36.0,127278.0,72.5,41.0,127278.0,94.60249999999999,46.0,158729.0,82.0,51.0,160866.0,101.0,56.0,199578.0,37.0,42.0,47.0,52.0,57.0
362,HOLLAND PARK,86.0,18.0,141140.0,86.0,23.0,141140.0,112.198,28.0,184939.0,124.0,33.0,205135.0,151.0,38.0,255955.0,21.0,26.0,31.0,36.0,41.0
363,HOPE VALLEY,64.0,16.0,86776.0,64.0,21.0,88670.0,73.5295,26.0,104668.0,78.5,31.0,112878.0,107.0,36.0,145576.5,18.0,23.0,28.0,33.0,38.0
364,HOPE VALLEY,64.0,16.0,86776.0,64.0,21.0,88670.0,73.5295,26.0,104668.0,78.5,31.0,112878.0,107.0,36.0,145576.5,15.0,20.0,25.0,30.0,35.0
365,HORNADAY,163.0,62.0,323440.0,151.5,67.0,330629.0,200.7645,72.0,550407.0,203.5,75.5,606037.0,245.0,81.0,701387.0,51.0,56.0,61.0,66.0,71.0
366,HUNGRY NECK NORTH,133.5,33.5,36000.0,91.0,5.0,106656.0,179.02599999999998,10.0,195925.5,212.0,15.0,242531.5,264.5,20.0,374445.5,1.0,6.0,11.0,16.0,21.0
367,HUNTER PARK,45.0,47.0,51435.5,46.0,52.0,51486.0,58.083,57.0,66012.0,66.5,62.0,68144.5,207.0,67.0,188719.0,51.0,56.0,61.0,66.0,71.0
368,HUNTERS CREEK TOWNHOMES,68.0,15.0,92848.0,68.0,20.0,92848.0,77.451,25.0,107408.0,85.0,30.0,118689.0,116.0,35.0,161782.0,15.0,20.0,25.0,30.0,35.0
369,HUNTERS CREEK WEST,89.0,23.0,144567.5,88.0,28.0,145848.0,132.35,33.0,220571.0,132.5,38.0,224221.0,170.0,43.0,283547.0,28.0,33.0,38.0,43.0,48.0
370,HUNTERS CROSSING,82.0,17.0,114612.0,75.0,22.0,115075.0,83.5145,27.0,148926.0,88.0,32.0,173785.0,145.0,37.0,216970.5,17.0,22.0,27.0,32.0,37.0
